Top,Russian,Audio,English,Spanish,Example Russian 1,Example Russian 2,Example Russian 3,Audio 1,Audio 2,Audio 3,Example English 1,Example English 2,Example English 3,Example Spanish 1,Example Spanish 2,Example Spanish 3,Tag
118,до́лжный,,due,debido,"Это ваши долги, которые вы должны оплатить.",Она стала должной победительницей.,Мне должны были позвонить.,,,,These are your debts that you must pay.,She became a rightful winner.,They were supposed to call me.,Estas son tus deudas que debes pagar.,Ella se convirtió en una ganadora debida.,Deberían haberme llamado.,adjective
119,смотре́ть,,to watch,mirar,Ты смотришь это кино?,Вы смотрите телевизор часто?,Вчера я смотрел фильм.,,,,Are you watching this movie?,Do you watch TV often?,Yesterday I watched a movie.,¿Estás mirando esta película?,¿Ven la televisión a menudo?,Ayer vi una película.,verb
120,почему́,,why,por qué,Почему́ ты опоздал на встречу?,"Я хочу знать, почему́ это случилось.",Она спрашивала его почему́ он так думает.,,,,Why were you late for the meeting?,I want to know why this happened.,She asked him why he thinks that way.,¿Por qué llegaste tarde a la reunión?,Quiero saber por qué pasó esto.,Ella le preguntaba por qué piensa así.,adverb
121,потому́,,therefore,por eso,"Я опоздал на встречу, потому что пробка.","Он уехал, потому пропустил урок.","Он забыл ключи, потому долго ждал.",,,,"I was late for the meeting, therefore there was traffic.","He left, so he missed the lesson.","He forgot the keys, that's why he waited long.","Llegué tarde a la reunión, por eso hubo tráfico.","Se fue, por eso se perdió la clase.","Olvidó las llaves, por eso esperó mucho tiempo.",adverb
122,сторона́,,side,lado,Я стою на другой стороне улицы.,Он указывал на правую сторону.,Она была на противоположной стороне.,,,,I'm standing on the other side of the street.,He was pointing to the right side.,She was on the opposite side.,Estoy parado al otro lado de la calle.,Él estaba señalando el lado derecho.,Ella estaba en el lado opuesto.,noun
123,про́сто,,simply,simplemente,"Она всегда говорит правду, просто и откровенно.","Я просто хочу, чтобы ты был счастлив.","Будь проще в общении, не усложняй.",,,,She always speaks the truth simply and candidly.,I simply want you to be happy.,"Be simpler in communication, don't complicate it.","Ella siempre dice la verdad, simplemente y sinceramente.",Simplemente quiero que seas feliz.,"Sé más sencillo en la comunicación, no lo compliques.",adverb
124,нога́,,leg,pierna,У нее́ была высокая нога́.,Я ушиб мою ногу́ вчера.,Она не смогла долго стоять на ноге.,,,,She had a long leg.,I bruised my leg yesterday.,She couldn't stand on her leg for long.,Ella tenía una pierna larga.,Me golpeé la pierna ayer.,No pudo estar mucho tiempo de pie en la pierna.,noun
125,сиде́ть,,to sit,sentarse,Ты сидишь на скамейке.,Вы сидите за столом.,Вчера он сидел в кафе.,,,,You sit on the bench.,You sit at the table.,Yesterday he sat in a cafe.,Tú te sientas en el banco.,Ustedes se sientan en la mesa.,Ayer él se sentó en un cafe.,verb
126,поня́ть,,to understand,entender,"Я понимаю, о чем ты говоришь.","Вы поймете, когда вникнете в суть.",Она поняла свою ошибку.,,,,I understand what you are talking about.,You will understand when you get to the heart of it.,She understood her mistake.,Entiendo de qué estás hablando.,Entenderán cuando lleguen al meollo de la cuestión.,Ella entendió su error.,verb
127,име́ть,,to have,tener,Я име́ю два брата.,Мы име́ем важную информацию.,Они имели много времени на подготовку.,,,,I have two brothers.,We have important information.,They had a lot of time to prepare.,Tengo dos hermanos.,Tenemos información importante.,Tenían mucho tiempo para prepararse.,verb
128,коне́чный,,"final, last",final,Это был мой коне́чный выбор.,У них оставался последний коне́чный шанс.,Что твой коне́чный вариант?,,,,It was my final choice.,They had one last chance remaining.,What is your final option?,Fue mi elección final.,Les quedaba una última oportunidad.,,adjective
129,де́лать,,to do,hacer,Я не люблю делать домашнее задание.,Они любят делать уроки вместе.,Вчера он сделал мне комплимент.,,,,I don't like to do homework.,They like to do lessons together.,Yesterday he complimented me.,No me gusta hacer la tarea.,Les gusta hacer clases juntos.,Ayer me dio un piropo.,verb
130,вдруг,,suddenly,de repente,Он вдруг заговорил о своих планах.,Вдруг стихнул ветер.,"Я вдруг осознал, что забыл ключи.",,,,He suddenly started talking about his plans.,Suddenly the wind died down.,I suddenly realized I forgot my keys.,De repente empezó a hablar de sus planes.,De repente el viento se calmó.,De repente me di cuenta de que olvidé las llaves.,adverb
131,над,,above,encima,Книги лежали над столом.,Он висел над водой.,Облака плывали над горизонтом.,,,,The books lay above the table.,He was hanging above the water.,Clouds were floating above the horizon.,Los libros estaban encima de la mesa.,Él estaba colgando sobre el agua.,Las nubes flotaban encima del horizonte.,other
132,взять,,to take,tomar,Я всегда беру с собой зонтик.,Вы можете взять книгу со стола.,Вчера я взял автобус до центра.,,,,I always take an umbrella with me.,You can take the book from the table.,"Yesterday, I took the bus to the city center.",Siempre llevo un paraguas conmigo.,Puedes tomar el libro de la mesa.,Ayer tomé el autobús al centro de la ciudad.,verb
133,никто́,,nobody,nadie,На вечеринке не осталось никого́.,Меня никого́ не ждало дома.,"Важно, что никого́ не пострадало.",,,,There was nobody left at the party.,Nobody was waiting for me at home.,It's important that nobody got hurt.,En la fiesta no quedaba nadie.,Nadie me esperaba en casa.,Es importante que nadie resultara herido.,pronoun
134,сде́лать,,to do,hacer,Ты можешь сде́лать это задание?,Мы сде́ла́ем все возможное.,Она сде́лала свой выбор.,,,,Can you do this task?,We will do everything possible.,She made her choice.,¿Puedes hacer esta tarea?,Haremos todo lo posible.,Ella hizo su elección.,verb
135,дверь,,door,puerta,Я открыл дверь и вошел в комнату.,"К сожалению, ключ потеряли и дверь не открывается.",Двери обычно покрашены в белый цвет.,,,,I opened the door and entered the room.,"Unfortunately, the key was lost and the door won't open.",Doors are usually painted in white.,Abrí la puerta y entré en la habitación.,"Desafortunadamente, perdieron la llave y la puerta no se abre.",Las puertas suelen estar pintadas de color blanco.,noun
136,пе́ред,,before,antes,Я встал пе́ред рассветом.,Она стояла пе́ред важным решением.,Подумай хорошенько пе́ред принятием решения.,,,,I got up before sunrise.,She stood before an important decision.,Think carefully before making a decision.,Me levanté antes del amanecer.,Ella estaba ante una decisión importante.,Piensa detenidamente antes de tomar una decisión.,other
137,ну́жный,,necessary,necesario,Это было очень ну́жное решение.,У тебя есть ну́жная книга?,"Важно понимать, когда это ну́жно.",,,,It was a very necessary decision.,Do you have the necessary book?,It's important to understand when it's necessary.,Fue una decisión muy necesaria.,¿Tienes el libro necesario?,Es importante entender cuándo es necesario.,adjective
138,понима́ть,,to understand,entender,Она всегда понимает мои чувства.,"Мы понимаем, что происходит.",Он понял свою ошибку.,,,,She always understands my feelings.,We understand what's happening.,He understood his mistake.,Ella siempre entiende mis sentimientos.,Entendemos lo que está ocurriendo.,Él comprendió su error.,verb
139,каза́ться,,seem,parecer,"Мне кажется, он прав.",Они кажутся уставшими сегодня.,"Мне показалось, что она улыбнулась.",,,,It seems to me he is right.,They seem tired today.,It seemed to me she smiled.,Me parece que él tiene razón.,Ellos parecen cansados hoy.,Me pareció que ella sonreía.,verb
140,рабо́та,,work,trabajo,Я ищу новую рабо́ту.,Эта рабо́та мне не нравится.,У неё была трудная рабо́та.,,,,I'm looking for a new job.,I don't like this job.,She had a difficult job.,Estoy buscando un nuevo trabajo.,No me gusta este trabajo.,Ella tuvo un trabajo difícil.,noun
141,три,,three,tres,У меня есть три яблока.,Она купила три книги.,Он пришел ров-три.,,,,I have three apples.,She bought three books.,He arrived at three o'clock.,Tengo tres manzanas.,Compró tres libros.,Llegó a las tres en punto.,numeral
142,ваш,,your,tu,Я прочитал вашу книгу.,"Пожалуйста, возьмите вашу сумку.",Я забыл ваш паспорт дома.,,,,I read your book.,Please take your bag.,I forgot your passport at home.,Leí tu libro.,"Por favor, toma tu bolsa.",Olvidé tu pasaporte en casa.,pronoun
143,уж,,already,ya,Он уж успел приготовиться к важной встрече.,Уже вчера я это сделал.,Он уж нашел ответ на свой вопрос.,,,,He has already prepared for the important meeting.,I did it already yesterday.,He has already found the answer to his question.,Él ya se ha preparado para la reunión importante.,Lo hice ayer ya.,Él ya encontró la respuesta a su pregunta.,adverb
144,земля́,,earth,tierra,Мы ищем участок земли для дома.,Солнце светит на теплую землю.,У растений корни в земле.,,,,We are looking for a plot of land for a house.,The sun shines upon the warm earth.,Plants have roots in the soil.,Estamos buscando un terreno para una casa.,El sol brilla sobre la cálida tierra.,Las plantas tienen raíces en la tierra.,noun
145,коне́ц,,end,final,Это был увлекательный конец книги.,"Независимо от конца фильма, он продолжал смеяться.",Что известно о предстоящем конце мира?,,,,It was an exciting end of the book.,"Regardless of the movie's ending, he kept laughing.",What is known about the upcoming end of the world?,Fue un final emocionante del libro.,"Independientemente del final de la película, él siguió riendo.",¿Qué se sabe sobre el próximo fin del mundo?,noun
146,не́сколько,,several,varios,У меня есть не́сколько хороших друзей.,На переговоры пришло не́сколько человек.,В магазине было не́сколько покупателей.,,,,I have several good friends.,Several people came for negotiations.,There were several shoppers in the store.,Tengo varios buenos amigos.,Varios personas vinieron a negociar.,Había varios compradores en la tienda.,adverb
147,час,,hour,hora,У меня есть один свободный час.,В этом году 365 дней и час.,За час до открытия.,,,,I have one free hour.,There are 365 days and an hour this year.,An hour before the opening.,Tengo una hora libre.,Este año tiene 365 días y una hora.,Una hora antes de la apertura.,noun
148,го́лос,,voice,voz,Этот го́лос вызвал смех у всех детей.,Она обладает красивым го́лосом.,Го́лос у неё содрогнулся от волнения.,,,,This voice made all the kids laugh.,She has a beautiful voice.,Her voice trembled with excitement.,Esta voz hizo reír a todos los niños.,Ella tiene una voz hermosa.,Su voz temblaba de emoción.,noun
149,го́род,,city,ciudad,Мой друг живет в этом городе.,Город просыпается на рассвете.,Городу нужны новые идеи.,,,,My friend lives in this city.,The city wakes up at sunrise.,The city needs new ideas.,Mi amigo vive en esta ciudad.,La ciudad despierta al amanecer.,La ciudad necesita nuevas ideas.,noun
150,после́дний,,"last, final",último/a,Это моя после́дняя попытка.,Он прочитал после́днюю страницу.,После́днее предложение в тексте.,,,,This is my last attempt.,He read the last page.,The last sentence in the text.,Esta es mi última intentona.,Él leyó la última página.,La última oración en el texto.,adjective
151,пока́,,bye,adiós,"Я должен идти, пока́!","Пока́, оста́нется дома.",Пока́ прохо́дит время.,,,,"I have to go, bye!","Bye, stay at home.","Time flies, bye!","¡Tengo que irme, ¡adiós!","¡Adiós, quédate en casa!","El tiempo vuela, ¡adiós!",adverb
152,хорошо́,,well,bien,Я себя чувствую хорошо́.,Погода предвещает хорошо́е.,Они восприняли новость хорошо́.,,,,I feel well.,The weather forecasts well.,They took the news well.,Me siento bien.,El clima pronostica bien.,Ellos recibieron bien la noticia.,adverb
153,дава́ть,,to give,dar,Ты всегда даришь мне радость.,Они давали подарки на праздник.,Он дал мне цветы вчера.,,,,You always give me joy.,They gave gifts for the holiday.,He gave me flowers yesterday.,Siempre me das alegría.,Dieron regalos en la fiesta.,Me dio flores ayer.,verb
154,вода́,,water,agua,Я пью чистую вода́ каждый день.,Мы купаемся в тёплой воде.,Вода́ не имеет вкуса.,,,,I drink clean water every day.,We swim in warm water.,Water has no taste.,Bebo agua limpia todos los días.,Nos bañamos en agua tibia.,El agua no tiene sabor.,noun
155,бо́лее,,more,más,Этот метод бо́лее эффективен.,Я хочу стать бо́лее уверенным.,Продукт бо́лее конкурентоспособен.,,,,This method is more effective.,I want to become more confident.,The product is more competitive.,Este método es más efectivo.,Quiero ser más seguro.,El producto es más competitivo.,adverb
156,хотя́,,although,aunque,"Я хотела бы пойти на концерт, хотя у меня много работы.","Он пришел поздно, хотя обещал быть вовремя.","Хотя мне было холодно, я решила остаться.",,,,"I would like to go to the concert, although I have a lot of work.","He came late, even though he promised to be on time.","Although I was cold, I decided to stay.","Me gustaría ir al concierto, aunque tengo mucho trabajo.","Llegó tarde, aunque prometió llegar a tiempo.","A pesar de tener frío, decidí quedarme.",other
157,всегда́,,always,siempre,Я всегда́ буду помнить этот день.,Она приходит всегда́ вовремя.,Он всегда́ говорит правду.,,,,I will always remember this day.,She always comes on time.,He always tells the truth.,Siempre recordaré este día.,Siempre llega puntualmente.,Siempre dice la verdad.,adverb
158,второ́й,,second,segundo,"Это уже второй раз, когда ты опаздываешь.",Во втором квартале мы увеличили прибыль.,Она заняла второе место на соревновании.,,,,This is the second time you are late.,We increased profits in the second quarter.,She took second place in the competition.,Esta es la segunda vez que llegas tarde.,Incrementamos las ganancias en el segundo trimestre.,Ella ocupó el segundo lugar en la competencia.,numeral
159,куда́,,where,dónde,Куда́ ты идешь после работы?,"Мы не знаем, куда́ она пропала.","Он спрашивал, куда́ я делаюсь.",,,,Where are you going after work?,We don't know where she disappeared.,He asked where I am disappearing to.,¿Dónde vas después del trabajo?,No sabemos dónde desapareció.,Él preguntaba dónde me estoy desapareciendo.,adverb
160,пойти́,,to go,ir,Я пойду в магазин за продуктами.,Мы пойдем в парк погулять.,Вчера я пошел в кино с друзьями.,,,,I will go to the store for groceries.,We will go to the park for a walk.,Yesterday I went to the movies with friends.,Voy a ir a la tienda por comida.,Iremos al parque a pasear.,Ayer fui al cine con amigos.,verb
161,стол,,table,mesa,Я поставил книгу на стол.,Скрипучие ножки у стола.,Я пригласил друзей за стол.,,,,I put a book on the table.,The table has squeaky legs.,I invited friends to the table.,Puse un libro en la mesa.,La mesa tiene patas chirriantes.,Invité a amigos a la mesa.,noun
162,ребёнок,,child,niño,Мой ребёнок любит рисовать.,Ребёнок пошёл в школу.,Счастливый ребёнок - радость родителей.,,,,My child loves to draw.,The child went to school.,A happy child is a parent's joy.,Mi hijo le encanta dibujar.,El niño fue a la escuela.,Un niño feliz es la alegría de los padres.,noun
163,уви́деть,,to see,ver,Ты уви́дишь красивый закат с горы.,Они уви́дят звездопад сегодня ночью.,Я уви́дел его в парке.,,,,You will see a beautiful sunset from the mountain.,They will see a meteor shower tonight.,I saw him in the park.,Verás un hermoso atardecer desde la montaña.,Ellos verán una lluvia de meteoros esta noche.,Lo vi en el parque.,verb
164,си́ла,,power/strength,fuerza/poder,Этот волшебный артефакт дарует своему владельцу невероятную силу.,Она обладает удивительной силой.,"Сила может быть как физической, так и духовной.",,,,This magical artifact bestows incredible power upon its owner.,She possesses amazing strength.,Power can be both physical and spiritual.,Este artefacto mágico otorga un poder increíble a su dueño.,Ella posee una fuerza increíble.,El poder puede ser tanto físico como espiritual.,noun
165,оте́ц,,father,padre,Мой отец работает в офисе.,Отец гордится своим сыном.,Отец учит меня играть в футбол.,,,,My father works in the office.,The father is proud of his son.,My father is teaching me to play football.,Mi padre trabaja en la oficina.,El padre está orgulloso de su hijo.,Mi padre me está enseñando a jugar al fútbol.,noun
166,же́нщина,,woman,mujer,Эта женщина хорошо готовит.,Я увидел женщину в красном платье.,Женщина считается сильной половиной.,,,,This woman cooks well.,I saw a woman in a red dress.,Woman is considered the stronger sex.,Esta mujer cocina bien.,Vi a una mujer con un vestido rojo.,La mujer es considerada el sexo fuerte.,noun
167,маши́на,,car,coche,Машина стоит на улице.,У него новая машина.,Я хочу купить эту машину.,,,,The car is parked on the street.,He has a new car.,I want to buy this car.,El coche está aparcado en la calle.,Él tiene un coche nuevo.,Quiero comprar este coche.,noun
168,слу́чай,,case,caso,У меня был странный слу́чай на улице.,Она рассказала о интересном слу́чае.,В таком слу́чае нужно быть осторожным.,,,,I had a strange case on the street.,She told about an interesting case.,"In such a case, one should be cautious.",Tuve un caso extraño en la calle.,Ella contó sobre un caso interesante.,"En ese caso, uno debe ser cauteloso.",noun
169,ночь,,night,noche,В темноте ночи можно увидеть звезды.,Каждая ночь уникальна.,Тишина ночи успокаивает.,,,,"In the darkness of the night, you can see the stars.",Every night is unique.,The silence of the night is calming.,En la oscuridad de la noche se pueden ver las estrellas.,Cada noche es única.,El silencio de la noche calma.,noun
170,сра́зу,,immediately,inmediatamente,Я хочу поговорить с тобой сразу.,Они начали работу сразу после обеда.,Он понял свою ошибку сразу.,,,,I want to talk to you immediately.,They started working right after lunch.,He realized his mistake right away.,Quiero hablar contigo inmediatamente.,Empezaron a trabajar inmediatamente después del almuerzo.,Se dio cuenta de su error de inmediato.,adverb
171,мир,,world,mundo,Он исследует неизведанный мир.,Мир вокруг наполнился светом.,Мир прекрасен в своем разнообразии.,,,,He explores the uncharted world.,The world around filled with light.,The world is beautiful in its diversity.,Él explora el mundo inexplorado.,El mundo se llenó de luz.,El mundo es hermoso en su diversidad.,noun
172,совсе́м,,completely,completamente,Он совсем не хочет говорить об этом.,Мне совсем не хватает времени.,Она сегодня совсем не в настроении.,,,,He doesn't want to talk about it at all.,I completely lack time.,She is not in the mood at all today.,Él no quiere hablar de eso en absoluto.,Realmente me falta tiempo.,Ella no está de humor en absoluto hoy.,adverb
173,оста́ться,,to stay,quedarse,"Что́, если ты оста́нешься на э́том вечере́?","Вы оста́вайтесь здесь, а я пойду за кофе́.",Вчера́ я оста́лся до поздна́ на работе́.,,,,What if you stay at this party?,"You stay here, and I'll go get coffee.",I stayed late at work yesterday.,¿Qué tal si te quedas en esta fiesta?,"Quédense aquí, y yo iré a por café.",Ayer me quedé hasta tarde en el trabajo.,verb
174,об,,about,acerca de,Я прочитал книгу об истории.,Он говорил об интересных фактах.,Давайте поговорим об этом позже.,,,,I read a book about history.,He talked about interesting facts.,Let's talk about it later.,Leí un libro sobre historia.,Hablaba sobre datos interesantes.,Hablemos de esto más tarde.,other
175,вид,,type,tipo,"Я не знаю, какого это вида растение.",Это совершенно другой вид животных.,Существует множество разных видов птиц.,,,,I don't know what type of plant this is.,These are completely different type of animals.,There are many different types of birds.,No sé qué tipo de planta es esta.,Estos son animales de un tipo completamente diferente.,Hay muchos tipos diferentes de pájaros.,noun
176,вы́йти,,to go out,salir,Она выходит из дома каждое утро.,Они вышли вечером на свежий воздух.,Вчера они вышли погулять в парке.,,,,She goes out of the house every morning.,They went out in the evening for some fresh air.,Yesterday they went out to walk in the park.,Ella sale de la casa todas las mañanas.,Salieron por la tarde a tomar aire fresco.,Ayer salieron a pasear al parque.,verb
177,дать,,to give,dar,Она даст тебе свой совет.,"Вы дайте мне знать, когда закончите.",Он дал ей подарок.,,,,She will give you her advice.,Please let me know when you finish.,He gave her a present.,Ella te dará su consejo.,Por favor avísenme cuando terminen.,Él le dio un regalo.,verb
178,рабо́тать,,to work,trabajar,Я рабо́таю в офисе.,Вы рабо́таете уже долго здесь.,Он рабо́тал целую неделю без отдыха.,,,,I work in the office.,You have been working here for a long time.,He worked a whole week without a break.,Trabajo en la oficina.,Llevan trabajando aquí mucho tiempo.,Él trabajó toda una semana sin descansar.,verb
179,люби́ть,,to love,amar,Я люблю читать книги.,Вы любите гулять в парке.,Они любили друг друга.,,,,I love to read books.,You love to walk in the park.,They loved each other.,Me encanta leer libros.,Les encanta pasear en el parque.,Se amaban mutuamente.,verb
180,ста́рый,,old,viejo,У меня есть ста́рый дом в деревне.,Этот ста́рый дедушка очень добрый.,Я купила ста́рый стул на барахолке.,,,,I have an old house in the village.,This old grandpa is very kind.,I bought an old chair at the flea market.,Tengo una casa vieja en el pueblo.,Este viejo abuelito es muy amable.,Compré una silla vieja en el mercado de pulgas.,adjective
181,почти́,,almost,casi,Она почти пришла на встречу.,Мы почти закончили проект.,Почти каждый день они гуляли в парке.,,,,She almost arrived at the meeting.,We almost finished the project.,They walked in the park almost every day.,Ella casi llegó a la reunión.,Casi hemos terminado el proyecto.,Casi todos los días caminaban en el parque.,adverb
182,ряд,,row,fila,Я взял самую первую книгу с этого ряда.,Здесь нет подходящего ряда.,В этом магазине много рядов продуктов.,,,,I took the very first book from this row.,There is no suitable row here.,"In this store, there are many rows of products.",Tomé el primer libro de esta fila.,Aquí no hay una fila adecuada.,"En esta tienda, hay muchas filas de productos.",noun
183,оказа́ться,,to find oneself/to turn out to be,resultar estar/terminar siendo,Она оказалась в центре внимания.,Мы оказались в непонятной ситуации.,Я оказался в театре вчера.,,,,She found herself in the spotlight.,We ended up in a confusing situation.,I found myself at the theater yesterday.,Terminó estando en el centro de atención.,Terminamos en una situación confusa.,Me encontré en el teatro ayer.,verb
184,нача́ло,,beginning,inicio,Это начало новой книги.,Она стоит в начале очереди.,В начале было слово.,,,,This is the beginning of a new book.,She is at the beginning of the line.,In the beginning was the word.,Este es el inicio de un nuevo libro.,Ella está al principio de la fila.,En el principio fue la palabra.,noun
185,твой,,your,tu,Я видел твоего брата в магазине.,Ты забыл взять своего паспорта.,Она нашла твоего кота во дворе.,,,,I saw your brother at the store.,You forgot to take your passport.,She found your cat in the yard.,Vi a tu hermano en la tienda.,Olvidaste llevar tu pasaporte.,Encontró a tu gato en el patio.,pronoun
186,вопро́с,,question,pregunta,У меня есть вопро́с к преподавателю.,Это очень важный вопро́с.,Ответ на этот вопро́с сложный.,,,,I have a question for the teacher.,This is a very important question.,The answer to this question is complex.,Tengo una pregunta para el profesor.,Esta es una pregunta muy importante.,La respuesta a esta pregunta es compleja.,noun
187,мно́го,,many,muchos,У меня мно́го друзе́й.,В магазине было мно́го люде́й.,Он читает мно́го кни́г.,,,,I have many friends.,There were many people in the store.,He reads many books.,Tengo muchos amigos.,Había muchas personas en la tienda.,Lee muchos libros.,adverb
188,война́,,war,guerra,Во время войны многие страдают.,Война меняет людей.,Последствия войны ужасны.,,,,Many suffer during war.,War changes people.,The consequences of war are dreadful.,Muchos sufren durante la guerra.,La guerra cambia a las personas.,Las consecuencias de la guerra son terribles.,noun
189,сно́ва,,again,de nuevo,Она решила попробовать себя в новой сфере работы снова.,Он усердно тренировался и снова смог достичь успеха.,С годами мы все возвращаемся снова к своим детским мечтам.,,,,She decided to try herself in a new field of work again.,He trained hard and achieved success again.,"Over the years, we all return to our childhood dreams again.",Ella decidió intentar nuevamente en un nuevo campo laboral.,Él entrenó duro y alcanzó el éxito otra vez.,"Con los años, todos volvemos de nuevo a nuestros sueños de la infancia.",adverb
190,отве́тить,,to answer,responder,Она всегда отвечает на мои сообщения быстро.,Мы отвечаем на все вопросы клиентов.,Он отвётил на вопросы журналистов.,,,,She always answers my messages quickly.,We answer all customer questions.,He answered the journalists' questions.,Ella siempre responde rápidamente a mis mensajes.,Respondemos todas las preguntas de los clientes.,Él respondió a las preguntas de los periodistas.,verb
191,ме́жду,,between,entre,Он стоит между двумя зданиями.,Договор заключен между нами.,Мы выбираем между двумя вариантами.,,,,He is standing between two buildings.,The agreement is made between us.,We choose between two options.,Él está parado entre dos edificios.,El acuerdo está hecho entre nosotros.,Elegimos entre dos opciones.,other
192,поду́мать,,to ponder/think,reflexionar/pensar,Она решила поду́мать немного.,"Мы обычно поду́мываем, прежде чем действовать.","Вчера я поду́мал о том, что сказал.",,,,She decided to think for a bit.,We usually think before acting.,Yesterday I pondered what I said.,Ella decidió reflexionar un poco.,Pensamos antes de actuar.,Ayer reflexioné sobre lo que dije.,verb
193,опя́ть,,again,de nuevo,Опять я опоздал на работу.,Он опять задумался о прошлом.,Опять начался дождь.,,,,"Once again, I was late for work.",He got lost in thought again.,It started raining again.,Otra vez llegué tarde al trabajo.,Él volvió a pensar en el pasado.,Volvió a llover.,adverb
194,бе́лый,,white,blanco,У нее́ была прекра́сная бе́лая ко́шка.,Купи́л бе́лую ру́башку.,Лето - вре́мя бе́лых пля́жей.,,,,She had a beautiful white cat.,He bought a white shirt.,Summer is the time for white beaches.,Tenía un hermoso gato blanco.,Compró una camisa blanca.,El verano es la época de playas blancas.,adjective
195,де́ньги,,money,dinero,У него много де́нег.,Де́нег не хватает на отпуск.,С деньгами нужно быть осторожным.,,,,He has a lot of money.,There's not enough money for vacation.,You have to be careful with money.,Él tiene mucho dinero.,No hay suficiente dinero para vacaciones.,Hay que tener cuidado con el dinero.,noun
196,зна́чить,,to mean,significar,Что это слово зна́чит?,"Они не зна́ют, что это зна́чит.","Она знала, что это зна́чило.",,,,What does this word mean?,They don't know what this means.,She knew what it meant.,¿Qué significa esta palabra?,Ellos no saben qué significa esto.,Ella sabía lo que significaba.,verb
197,про,,about,sobre,Мы говорили про планы на выходные.,Она написала книгу про путешествия.,Он забыл про важную встречу.,,,,We talked about plans for the weekend.,She wrote a book about travels.,He forgot about an important meeting.,Hablamos sobre planes para el fin de semana.,Ella escribió un libro sobre viajes.,Olvidó sobre una reunión importante.,other
198,лишь,,only,solo,Он лишь попросил твою помощь.,"Я лишь хочу, чтобы ты верил.",Она пригласила лишь близких друзей.,,,,He only asked for your help.,I only want you to believe.,She invited only close friends.,Él solo pidió tu ayuda.,Sólo quiero que creas.,Ella invitó solo a amigos cercanos.,other
199,мину́та,,minute,minuto,Я ждал своего друга всего одну мину́ту.,На часах было уже двадцать мину́т.,Пятьдесят мину́т - это час.,,,,I waited for my friend for just one minute.,It was already twenty minutes on the clock.,Fifty minutes is an hour.,Esperé a mi amigo solo un minuto.,Ya eran veinte minutos en el reloj.,Cincuenta minutos son una hora.,noun
200,жена́,,wife,esposa,Моя жена́ готовит вкусный ужин.,У меня самая заботливая жена́.,У жены красивая улыбка.,,,,My wife is cooking a delicious dinner.,I have the most caring wife.,The wife has a beautiful smile.,Mi esposa está cocinando una deliciosa cena.,Tengo la esposa más atenta.,La esposa tiene una hermosa sonrisa.,noun
201,посмотре́ть,,to watch,mirar,Он посмотре́л фильм вчера.,Мы посмотрим сериал на выходных.,Они посмотре́ли новостное обновление.,,,,He watched a movie yesterday.,We will watch a series on the weekend.,They watched the news update.,Él miró una película ayer.,Veremos una serie el fin de semana.,Ellos vieron la actualización de noticias.,verb
202,пра́вда,,truth,verdad,Это не всегда соответствует пра́вде.,Я ищу истинную пра́вду.,Просто говорю тебе правду.,,,,It does not always correspond to the truth.,I seek the true truth.,I'm just telling you the truth.,No siempre se corresponde con la verdad.,Busco la verdadera verdad.,Solo te estoy diciendo la verdad.,noun
203,гла́вный,,main,principal,Это – гла́вное здание в центре города.,Она решила поговорить с гла́вным директором.,Гордость – гла́вный порок.,,,,This is the main building in the city.,She decided to talk to the main director.,Pride is the main vice.,Esto es el edificio principal en la ciudad.,Ella decidió hablar con el director principal.,El orgullo es el vicio principal.,adjective
204,страна́,,country,país,Родина - это самая лучшая страна.,Моя страна богата культурой.,Он путешествовал по разным странам.,,,,Homeland is the best country.,My country is rich in culture.,He traveled to different countries.,La patria es el mejor país.,Mi país es rico en cultura.,Viajó a diferentes países.,noun
205,свет,,light,luz,Окно пропускает много света.,Луна светит ярким светом.,Солнечный свет согревает душу.,,,,The window lets in a lot of light.,The moon shines brightly.,The sunlight warms the soul.,La ventana deja entrar mucha luz.,La luna brilla intensamente.,La luz del sol calienta el alma.,noun
206,ждать,,to wait,esperar,Я жду тебя на автобусной остановке.,Они ждут своих друзей.,Она ждала своего брата вчера.,,,,I'm waiting for you at the bus stop.,They are waiting for their friends.,She waited for her brother yesterday.,Te espero en la parada del autobús.,Ellos esperan a sus amigos.,Ella esperó a su hermano ayer.,verb
207,мать,,mother,madre,Моя мать готовит вкусный обед.,Любовь мамы невероятна.,Для каждого её совет мудр.,,,,My mother is cooking a delicious lunch.,A mother's love is incredible.,Her advice is wise for everyone.,Mi madre está cocinando un almuerzo delicioso.,El amor de una madre es increíble.,Sus consejos son sabios para todos.,noun
208,бу́дто,,as if,como si,"Она пела так, будто слышалась ангел.","Он смотрил на нее́ так, будто влюблен.","Он говорил спокойно, будто ничего не случилось.",,,,She sang as if an angel was heard.,He looked at her as if in love.,He spoke calmly as if nothing had happened.,Ella cantaba como si se escuchara un ángel.,Él la miraba como si estuviera enamorado.,Él habló tranquilamente como si nada hubiera pasado.,other
209,никогда́,,never,nunca,Я никогда́ не поздно учусь.,Он никогда́ не говорит.,Они никогда́ не посещают это место.,,,,I never study late.,He never speaks.,They never visit this place.,Nunca estudio tarde.,Él nunca habla.,Ellos nunca visitan este lugar.,adverb
